ST,County,StateFIPS,CountyFIPS,S_C_Rate,Population,S_Homicide_Rate,S_Suicide_Rate
KY,WASHINGTON,21,229,14.26797984,82446,2.329466096,11.35614722
KY,WAYNE,21,231,15.45746832,145163,2.545935959,11.36578553
KY,WEBSTER,21,233,14.43215073,94614,2.420876897,11.73194189
KY,WHITLEY,21,235,16.28886203,249897,2.268805782,12.74021708
KY,WOLFE,21,237,20.48976278,51014,5.553300192,14.17049015
KY,WOODFORD,21,239,11.51816011,174931,3.025251693,8.298626203
LA,ACADIA,22,1,15.55142521,432633,4.971831108,9.567884284
LA,ALLEN,22,3,14.35300385,180192,4.646324964,8.602601666
LA,ASCENSION,22,5,19.62937748,768953,11.12804672,7.631674787
LA,ASSUMPTION,22,7,13.77914772,162953,4.82393861,8.163588417
LA,AVOYELLES,22,9,16.9081215,292057,5.331389661,10.54853526
LA,BEAUREGARD,22,11,13.69229286,250410,3.767406023,8.952653024
LA,BIENVILLE,22,13,13.32733827,99559,3.724475006,8.750272605
LA,BOSSIER,22,15,15.73288997,837978,6.012941251,9.019411876
LA,CADDO,22,17,16.35283802,1782204,6.379806763,9.141945323
LA,CALCASIEU,22,19,14.77717432,1354322,4.194052129,9.68159697
LA,CALDWELL,22,21,15.29841991,70449,5.117620894,9.364157381
LA,CAMERON,22,23,14.68378402,47869,5.397777305,8.714208276
LA,CATAHOULA,22,25,17.4934747,72429,3.938928079,12.51188919
LA,CLAIBORNE,22,27,15.98473183,118522,3.858383544,11.50625093
LA,CONCORDIA,22,29,18.45649424,144178,5.699799693,11.21865336
LA,DE SOTO,22,31,16.85375157,187768,7.258443429,8.603910991
LA,EAST BATON ROUGE,22,33,19.39548091,3088652,10.74639564,7.832433439
LA,EAST CARROLL,22,35,18.24994368,53836,6.922392429,9.943072762
LA,EAST FELICIANA,22,37,21.03021885,140812,13.78855518,6.493447497
LA,EVANGELINE,22,39,17.13656975,237302,5.50320736,10.5884496
LA,FRANKLIN,22,41,17.53412375,144589,5.784453197,10.48432142
LA,GRANT,22,43,15.03246693,155510,6.204890605,7.932025104
LA,IBERIA,22,45,13.83980427,515536,4.640728018,8.2105188
LA,IBERVILLE,22,47,18.86494856,233947,10.55778401,7.410576301
LA,JACKSON,22,49,13.62558451,113201,4.671628975,8.175350706
LA,JEFFERSON,22,51,24.72118484,3036103,16.718225,7.447780687
LA,JEFFERSON DAVIS,22,53,15.00586825,220444,4.278268821,9.865560191
